config,network,rmse,mape,rhat_sigma,VaR_1_0,VaR_10_0,VaR_0_1,VaR_5_0,nu
27,3,0.014191237138098422,0.9998625221825537,1.1439549,0.023192360163710776,0.12551159618008187,0.002728512960436562,0.08321964529331514,3.0
270,2,0.014475784030033426,0.992905047592498,2.314418,0.01227830832196453,0.0791268758526603,0.004092769440654843,0.04911323328785812,6.0
271,3,0.014205933837109292,1.0075589399967282,1.1871483,0.036834924965893585,0.12141882673942701,0.009549795361527967,0.08458390177353342,6.0
272,4,0.014115946439369795,0.957652351003437,1.5435013,0.036834924965893585,0.1145975443383356,0.008185538881309686,0.08321964529331514,6.0
273,1,0.014144828157797067,0.9612026328567274,2.4303932,0.036834924965893585,0.11732605729877217,0.009549795361527967,0.08321964529331514,6.0
274,2,0.014229981980132768,0.9291960415954416,2.546549,0.036834924965893585,0.10368349249658936,0.0068212824010914054,0.07639836289222374,6.0
275,3,0.01420629809303445,1.0013380252213204,1.0208578,0.03819918144611187,0.11869031377899045,0.009549795361527967,0.08321964529331514,6.0
276,4,0.014115444363252171,0.9459794378556955,1.0387545,0.036834924965893585,0.12005457025920874,0.010914051841746248,0.08594815825375171,6.0
277,1,0.014108827983008455,0.9662746234404102,2.5854664,0.03819918144611187,0.11869031377899045,0.008185538881309686,0.08458390177353342,6.0
278,2,0.014480605162794882,0.9408221953075538,2.5937479,0.010914051841746248,0.07503410641200546,0.004092769440654843,0.047748976807639835,6.0
279,3,0.01420330393136261,1.0033651841472617,1.1702291,0.03819918144611187,0.12005457025920874,0.009549795361527967,0.08458390177353342,6.0
28,4,0.014117986057816936,0.9767285055871846,1.968,0.02455661664392906,0.12687585266030013,0.002728512960436562,0.08458390177353342,3.0
280,4,0.014108980997598341,0.9651220060666172,1.9280252,0.03819918144611187,0.11596180081855388,0.010914051841746248,0.08321964529331514,6.0
281,1,0.01413325465850847,1.0066831620556398,1.474677,0.040927694406548434,0.12278308321964529,0.009549795361527967,0.08731241473396999,6.0
282,2,0.014335230202035297,0.9656222929170029,1.8410469,0.020463847203274217,0.09004092769440655,0.005457025920873124,0.061391541609822645,6.0
283,3,0.014204301491850901,1.0138104207822771,1.9911277,0.036834924965893585,0.11732605729877217,0.009549795361527967,0.08185538881309687,6.0
284,4,0.014113404859208464,0.982096269613588,1.0703583,0.036834924965893585,0.11869031377899045,0.009549795361527967,0.08185538881309687,6.0
285,1,0.014119961340178825,0.9743504221439685,1.0780035,0.036834924965893585,0.11596180081855388,0.010914051841746248,0.08458390177353342,6.0
286,2,0.014560170558908216,0.8798104494535919,1.3071858,0.009549795361527967,0.07094133697135062,0.002728512960436562,0.04229195088676671,6.0
287,3,0.014200986824872237,1.0010156547796374,2.7489364,0.03819918144611187,0.12005457025920874,0.010914051841746248,0.08594815825375171,6.0
288,4,0.014122556747156331,0.9600092250192865,2.1583683,0.036834924965893585,0.1077762619372442,0.009549795361527967,0.07776261937244201,6.0
289,1,0.014094249319266552,0.9706233667183187,1.457501,0.036834924965893585,0.11596180081855388,0.010914051841746248,0.08321964529331514,7.0
29,1,0.01414747564442055,0.9674441263733098,1.0058472,0.023192360163710776,0.12824010914051842,0.002728512960436562,0.08458390177353342,3.0
290,2,0.014173354904797384,1.0019026845481462,1.9111228,0.03819918144611187,0.1145975443383356,0.010914051841746248,0.08185538881309687,7.0
291,3,0.01415579269405577,0.9771152676222884,1.101779,0.03819918144611187,0.11732605729877217,0.009549795361527967,0.08321964529331514,7.0
292,4,0.01408366313488525,0.9401571723633573,1.0014379,0.036834924965893585,0.11596180081855388,0.010914051841746248,0.08185538881309687,7.0
293,1,0.014115536661530094,0.9450168574559451,1.2722691,0.036834924965893585,0.1145975443383356,0.010914051841746248,0.0791268758526603,7.0
294,2,0.014144072833776935,1.0073444772918976,2.4467602,0.02592087312414734,0.0941336971350614,0.005457025920873124,0.06002728512960437,7.0
295,3,0.01419704579019885,1.0005532545150198,1.9485611,0.040927694406548434,0.11869031377899045,0.010914051841746248,0.08458390177353342,7.0
296,4,0.014113256005989437,0.9581277140630037,1.0207844,0.03819918144611187,0.1145975443383356,0.010914051841746248,0.08321964529331514,7.0
297,1,0.014152063546798216,0.9438967702760731,1.0800315,0.03956343792633015,0.11596180081855388,0.010914051841746248,0.08594815825375171,7.0
298,2,0.014173539647122974,1.0015725974212935,2.0488906,0.036834924965893585,0.11323328785811733,0.01227830832196453,0.08185538881309687,7.0
299,3,0.014168968640268013,0.9845461699682772,1.0047415,0.03956343792633015,0.11869031377899045,0.010914051841746248,0.08458390177353342,7.0
3,3,0.014187554106531861,0.988563631265372,1.0334494,0.023192360163710776,0.12414733969986358,0.002728512960436562,0.08321964529331514,3.0
30,2,0.01418730964203965,1.0025139977241257,1.7745692,0.0068212824010914054,0.0791268758526603,0.0,0.04229195088676671,3.0
300,4,0.01408860334986584,0.9458684250912055,1.0052205,0.03819918144611187,0.11732605729877217,0.009549795361527967,0.08458390177353342,7.0
301,1,0.014156122961473375,0.9491702954038721,1.6733238,0.036834924965893585,0.11323328785811733,0.010914051841746248,0.08321964529331514,7.0
302,2,0.014197362046272387,0.9973194362885885,1.9436588,0.021828103683492497,0.09140518417462483,0.004092769440654843,0.058663028649386086,7.0
303,3,0.014199482230822031,0.9973946495782511,1.8730525,0.03819918144611187,0.11869031377899045,0.009549795361527967,0.08458390177353342,7.0
304,4,0.014102634127794273,0.9530930266099493,1.4891748,0.03819918144611187,0.1145975443383356,0.009549795361527967,0.08321964529331514,7.0
305,1,0.014201875818266596,1.000495017859058,1.1252486,0.030013642564802184,0.1009549795361528,0.008185538881309686,0.07094133697135062,7.0
306,2,0.014067781368127594,0.9371107648801562,1.1792772,0.03547066848567531,0.1077762619372442,0.010914051841746248,0.07639836289222374,7.0
307,3,0.014075530339825854,0.9324938900873647,1.3999579,0.040927694406548434,0.12687585266030013,0.010914051841746248,0.08867667121418826,7.0
308,4,0.014057860830721814,0.9050499820358275,1.6333117,0.034106412005457026,0.11323328785811733,0.009549795361527967,0.07503410641200546,7.0
309,1,0.014285286679501472,0.9387885280214715,1.9823276,0.036834924965893585,0.10914051841746249,0.008185538881309686,0.08049113233287858,7.0
31,3,0.014207923785673255,1.0053159636961224,1.3159276,0.02455661664392906,0.12414733969986358,0.002728512960436562,0.08458390177353342,3.0
310,2,0.014216839622779826,0.9875014994336785,1.2236679,0.01227830832196453,0.07639836289222374,0.004092769440654843,0.04638472032742155,7.0
311,3,0.01420133663292169,1.0051067701709175,2.3200212,0.04365620736698499,0.12141882673942701,0.01227830832196453,0.08594815825375171,7.0
312,4,0.01410349959830864,0.9471446164342879,1.0058156,0.04365620736698499,0.12687585266030013,0.01227830832196453,0.08731241473396999,7.0
313,1,0.01406539224797544,0.9685011629048196,1.2948736,0.036834924965893585,0.1145975443383356,0.010914051841746248,0.08185538881309687,7.0
314,2,0.014164517972883109,1.0031615273159447,1.2069312,0.03547066848567531,0.10641200545702592,0.008185538881309686,0.07776261937244201,7.0
315,3,0.014193520076334796,0.9875079086414553,1.040608,0.03819918144611187,0.11869031377899045,0.010914051841746248,0.08458390177353342,7.0
316,4,0.01411692584944348,0.972555643986415,1.0303712,0.03819918144611187,0.11323328785811733,0.010914051841746248,0.08185538881309687,7.0
317,1,0.014119257844077944,0.9646739894644518,1.0047065,0.040927694406548434,0.11869031377899045,0.010914051841746248,0.08458390177353342,7.0
318,2,0.014173948403895173,1.0025043553490323,1.2293745,0.019099590723055934,0.08458390177353342,0.004092769440654843,0.05184174624829468,7.0
319,3,0.014203002050037808,0.9933439355417067,1.0091182,0.040927694406548434,0.11869031377899045,0.010914051841746248,0.08321964529331514,7.0
